positions,mean_wage,mean_value,mean_overall,count
CF,17966.594827586207,6354558.189655173,68.45258620689656,464
LW,12331.11607142857,4448741.071428572,66.96428571428571,1120
RW,11687.724820143885,3975139.3884892086,66.49550359712231,1112
CAM,10214.833183047791,3566465.2840396753,66.86789900811542,2218
ST,9956.412977562159,3155986.9617950274,66.05366889023651,3298
RWB,9799.381625441696,2765724.381625442,66.48939929328623,566
CM,9749.40461725395,3198731.4702308625,66.2415552855407,4115
CDM,9436.946749654218,3016450.553250346,66.7807745504841,2892
RM,9284.663234663234,3200662.8056628057,66.66752466752467,2331
LM,9153.805496828752,3275272.727272727,66.7276955602537,2365
LWB,9114.446366782007,2700190.311418685,66.43598615916954,578
CB,8570.397384305836,2572697.434607646,66.0319416498994,3976
RB,8484.245236932096,2476924.767953102,65.88128969223254,2047
LB,8428.213562753037,2492153.340080972,66.07540485829959,1976
GK,6335.662824207493,1967351.1047070124,64.42651296829972,2082
